"","Plate3_073R_R_M_S2_week5_S33_L001","Plate3_1067R_0_M_S2_week5_S34_L001","Plate3_1067R_L_M_S2_week5_S35_L001","Plate3_1152R_0_M_S2_week5_S36_L001","Plate3_1152R_L_M_S2_week5_S37_L001","Plate3_1152R_R_M_S2_week5_S38_L001","Plate3_1174R_0_M_S2_week5_S39_L001","Plate3_2404R_0_F_S2_week5_S40_L001","Plate3_2404R_L_F_S2_week5_S41_L001","Plate3_2446R_0_F_S2_week5_S42_L001","Plate3_2446R_RL_F_S2_week5_S44_L001","Plate3_2446R_R_F_S2_week5_S43_L001","Plate3_2453R_0_F_S2_week5_S45_L001","Plate3_2453R_L_F_S2_week5_S46_L001","Plate3_2453R_R_F_S2_week5_S47_L001","Plate3_3795R_L_F_S2_week5_S48_L001","Plate3_3880R_0_F_S2_week5_S49_L001","Plate3_3880R_L_F_S2_week5_S50_L001","Plate3_3880R_R_F_S2_week5_S51_L001","Plate3_3909R_L_M_S2_week5_S52_L001","Plate3_3918R_0_M_S2_week5_S53_L001","Plate3_3918R_L_M_S2_week5_S54_L001","Plate3_3918R_RL_M_S2_week5_S55_L001","Plate3_3918R_RR_M_S2_week5_S56_L001","Plate3_3969R_R_F_S2_week5_S57_L001","Plate3_3980R_0_F_S2_week5_S58_L001","Plate3_3980R_L_F_S2_week5_S59_L001","Plate3_3980R_R_F_S2_week5_S60_L001","Plate5_048R_S2_R_Female_week5_S61_L001","Plate5_1050R_S2_L_Male_week5_S68_L001","Plate5_1050R_S2_RR_Male_week5_S70_L001","Plate5_1050R_S2_R_Male_week5_S69_L001","Plate5_1127R_S2_0_Female_week5_S62_L001","Plate5_1127R_S2_R_Female_week5_S63_L001","Plate5_2514R_S2_L_Male_week5_S71_L001","Plate5_2514R_S2_R_Male_week5_S72_L001","Plate5_3995R_S2_0_Female_week5_S64_L001","Plate5_3995R_S2_L_Female_week5_S65_L001","Plate5_3995R_S2_RR_Female_week5_S67_L001","Plate5_3995R_S2_R_Female_week5_S66_L001","Plate5_3997R_S2_L_Male_week5_S73_L001","Plate5_3997R_S2_R_Male_week5_S74_L001","Plate2_073R_0_M_S2_week6_S53_L001","Plate2_1067R_R_M_S2_week6_S57_L001","Plate2_2404R_R_F_S2_week6_S36_L001","Plate2_2446R_L_F_S2_week6_S40_L001","Plate2_3795R_0_F_S2_week6_S44_L001","Plate2_3909R_0_M_S2_week6_S62_L001","Plate2_3918R_R_M_S2_week6_S66_L001","Plate2_3969R_0_F_S2_week6_S48_L001","Plate2_073R_0_M_S2_week7_S54_L001","Plate2_1067R_R_M_S2_week7_S58_L001","Plate2_2404R_R_F_S2_week7_S37_L001","Plate2_2446R_L_F_S2_week7_S41_L001","Plate2_3795R_0_F_S2_week7_S45_L001","Plate2_3909R_0_M_S2_week7_S63_L001","Plate2_3918R_R_M_S2_week7_S67_L001","Plate2_3969R_0_F_S2_week7_S49_L001","Plate1_1174R_0_M_S2_week9_S56_L001","Plate1_2446R_0_F_S2_week9_S55_L001","Plate2_073R_0_M_S2_week9_S55_L001","Plate2_1067R_R_M_S2_week9_S59_L001","Plate2_1152R_0_M_S2_week9_S60_L001","Plate2_2404R_R_F_S2_week9_S38_L001","Plate2_2446R_L_F_S2_week9_S42_L001","Plate2_3795R_0_F_S2_week9_S46_L001","Plate2_3909R_0_M_S2_week9_S64_L001","Plate2_3918R_R_M_S2_week9_S68_L001","Plate2_3969R_0_F_S2_week9_S50_L001","Plate2_3980R_0_F_S2_week9_S51_L001","Plate3_073R_R_M_S2_Pellet_week9_S61_L001","Plate3_1067R_0_M_S2_week9_S62_L001","Plate3_1067R_L_M_S2_week9_S63_L001","Plate3_1152R_L_M_S2_week9_S64_L001","Plate3_1152R_R_M_S2_week9_S65_L001","Plate3_2404R_0_F_S2_week9_S66_L001","Plate3_2404R_L_F_S2_week9_S67_L001","Plate3_2446R_RL_F_S2_Pellet_week9_S69_L001","Plate3_2446R_R_F_S2_Pellet_week9_S68_L001","Plate3_2453R_0_F_S2_Pellet_week9_S70_L001","Plate3_2453R_L_F_S2_Pellet_week9_S71_L001","Plate3_2453R_R_F_S2_Pellet_week9_S72_L001","Plate3_3795R_L_F_S2_week9_S73_L001","Plate3_3880R_0_F_S2_week9_S74_L001","Plate3_3880R_L_F_S2_week9_S75_L001","Plate3_3880R_R_F_S2_week9_S76_L001","Plate3_3909R_L_M_S2_week9_S77_L001","Plate3_3918R_0_M_S2_week9_S78_L001","Plate3_3918R_L_M_S2_week9_S79_L001","Plate3_3918R_RL_M_S2_week9_S80_L001","Plate3_3918R_RR_M_S2_week9_S81_L001","Plate3_3969R_R_F_S2_Pellet_week9_S82_L001","Plate3_3980R_L_F_S2_Pellet_week9_S83_L001","Plate3_3980R_R_F_S2_Pellet_week9_S84_L001","Plate5_048R_S2_R_Female_week9_S75_L001","Plate5_1050R_S2_L_Male_week9_S82_L001","Plate5_1050R_S2_RR_Male_week9_S84_L001","Plate5_1050R_S2_R_Male_week9_S83_L001","Plate5_1127R_S2_0_Female_week9_S76_L001","Plate5_1127R_S2_R_Female_week9_S77_L001","Plate5_2514R_S2_L_Male_week9_S85_L001","Plate5_2514R_S2_R_Male_week9_S86_L001","Plate5_3995R_S2_0_Female_week9_S78_L001","Plate5_3995R_S2_L_Female_week9_S79_L001","Plate5_3995R_S2_RR_Female_week9_S81_L001","Plate5_3995R_S2_R_Female_week9_S80_L001","Plate5_3997R_S2_L_Male_week9_S87_L001","Plate5_3997R_S2_R_Male_week9_S88_L001","Plate1_160R_0_F_S2_week10_S49_L001","Plate1_160R_L_F_S2_week10_S50_L001","Plate1_3795R_R_F_S2_week10_S51_L001","Plate1_3896R_0_M_S2_week10_S52_L001","Plate1_3896R_L_M_S2_week10_S53_L001","Plate1_3909R_R_M_S2_week10_S54_L001"
"Parabacteroides_merdae",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_distasonis",3575,5822,4614,5873,5329,4211,5584,5181,5330,5085,3384,8234,3668,5599,5124,4850,3142,2927,3936,3583,5447,5008,4198,4578,4576,4341,6174,6862,4652,6541,4143,4286,4646,5048,3093,4310,7089,3897,4705,4367,4968,9125,7658,8287,6510,5707,3460,5703,7336,6162,7001,4071,4824,6761,5591,4081,8053,5973,5450,5363,6210,6314,7014,6670,3727,5641,6117,4335,8023,5286,6980,8319,5306,4277,3638,3553,5424,6933,3518,4467,6727,4726,2484,2225,4249,5262,4276,4555,5783,3825,5307,5142,6011,4667,5081,5625,6748,4273,6229,5102,6796,10473,4047,8384,9154,7174,11466,4415,3731,4003,8451,3809,5452,5362
"Enterocloster_bolteae/clostridioformis",554,1077,1010,1258,901,799,913,723,2027,1066,1784,1238,421,916,1221,943,832,1107,419,936,545,913,680,1068,890,994,1205,1446,1897,929,1063,541,831,892,1162,1478,2784,1128,1160,1393,1081,1852,811,912,397,510,955,797,931,790,1073,948,207,1127,1033,1017,1230,782,836,1067,1798,1151,1087,977,1089,1269,1159,976,608,1036,1302,910,834,945,576,1063,1158,1754,1019,1012,1699,1155,1147,1053,1627,1332,1083,735,1380,774,1010,908,812,1610,863,1263,1459,1569,1362,1534,1816,1673,1312,2538,1936,2148,1972,1170,482,830,1274,699,455,804
"Phocaeicola_NA",3310,3897,5916,3057,6044,2543,3664,1111,6375,4633,2431,1187,2609,4851,721,3804,2160,1796,3045,2319,4351,3094,3918,1550,4269,3806,6202,3590,4035,7785,3765,3732,6052,7592,2215,1078,4940,3266,2532,3758,2496,4135,5516,2611,875,1391,1048,5089,2963,1443,7956,1836,5801,4231,5364,6456,7183,8211,4892,7080,11443,9030,9109,9321,5260,7112,7144,7044,7209,6256,9373,11268,8308,6286,6288,6777,4579,13094,5354,4960,6487,4405,3383,2586,4932,5367,7219,7988,11134,7273,9941,6974,5329,7187,9648,7684,9059,6603,6634,12058,12849,23033,7014,8913,14831,11855,15179,7080,9005,4109,11684,5380,7049,6433
"Bacteroides_thetaiotaomicron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_NA",1946,3251,2593,3280,2984,2448,3114,2843,2879,2671,1806,4487,2058,2978,2780,2714,1713,1582,2116,1933,2854,2803,2389,2524,2525,2289,3314,3802,2116,2915,1939,1828,2019,2381,1468,2018,3113,1735,2034,1983,2159,4211,3448,3362,2794,2497,1492,2494,3080,2767,2954,1641,2063,2881,2401,1813,3471,2638,2317,2329,2702,2643,3048,2929,1654,2426,2683,1942,3405,2172,3767,4507,2988,2294,1955,2035,2647,3774,1923,2452,3675,2680,1331,1122,2468,2817,2368,2394,3224,2251,2855,2751,3340,2517,2272,2455,2974,2008,2646,2193,2973,4666,1697,3598,3871,3294,5032,1897,1763,1512,3616,1591,2206,2259
"Alistipes_finegoldii",825,714,351,698,586,362,693,681,809,994,1006,928,1404,737,475,1150,519,520,1284,568,623,595,559,596,768,724,1002,1189,532,1055,1140,1361,1204,1227,515,645,843,580,884,697,628,890,2040,1069,1529,1208,1427,2293,1227,799,2368,2184,1392,1035,1590,1726,2133,1615,1845,1498,2531,1229,1996,1101,1015,1570,1611,1104,1236,1917,2649,2017,2141,2035,1423,1538,2892,2095,1715,1800,2185,1446,1155,1929,2530,1423,1754,1350,1808,1956,1580,1848,1505,1942,1038,1664,1701,1581,1397,1250,2292,2052,1790,1483,2204,1915,1645,1897,1486,2323,2148,1913,1845,2314
"Flavonifractor_plautii",672,847,345,630,723,460,654,573,867,815,636,870,465,575,465,677,676,587,603,631,801,682,577,676,914,825,1231,911,506,1403,852,645,1067,867,577,756,1054,747,564,689,663,1298,948,1162,699,606,504,1032,988,554,995,1024,554,728,635,670,1017,733,578,719,789,766,1177,657,425,871,1011,675,895,552,852,904,802,519,523,663,1343,1181,549,518,1232,614,686,1078,911,1043,705,581,918,899,705,802,925,700,833,932,1239,713,810,1854,1018,1549,697,1072,1336,1388,1607,554,483,691,836,423,653,490
"Limosilactobacillus_fermentum",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,25,7,8,0,0,0,0,0,0,0,0,7,4,0,0,6,23,0,13,18,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
