"","Plate3_073R_R_M_S2_week5_S33_L001","Plate3_1067R_0_M_S2_week5_S34_L001","Plate3_1067R_L_M_S2_week5_S35_L001","Plate3_1152R_0_M_S2_week5_S36_L001","Plate3_1152R_L_M_S2_week5_S37_L001","Plate3_1152R_R_M_S2_week5_S38_L001","Plate3_1174R_0_M_S2_week5_S39_L001","Plate3_2404R_0_F_S2_week5_S40_L001","Plate3_2404R_L_F_S2_week5_S41_L001","Plate3_2446R_0_F_S2_week5_S42_L001","Plate3_2446R_RL_F_S2_week5_S44_L001","Plate3_2446R_R_F_S2_week5_S43_L001","Plate3_2453R_0_F_S2_week5_S45_L001","Plate3_2453R_L_F_S2_week5_S46_L001","Plate3_2453R_R_F_S2_week5_S47_L001","Plate3_3795R_L_F_S2_week5_S48_L001","Plate3_3880R_0_F_S2_week5_S49_L001","Plate3_3880R_L_F_S2_week5_S50_L001","Plate3_3880R_R_F_S2_week5_S51_L001","Plate3_3909R_L_M_S2_week5_S52_L001","Plate3_3918R_0_M_S2_week5_S53_L001","Plate3_3918R_L_M_S2_week5_S54_L001","Plate3_3918R_RL_M_S2_week5_S55_L001","Plate3_3918R_RR_M_S2_week5_S56_L001","Plate3_3969R_R_F_S2_week5_S57_L001","Plate3_3980R_0_F_S2_week5_S58_L001","Plate3_3980R_L_F_S2_week5_S59_L001","Plate3_3980R_R_F_S2_week5_S60_L001","Plate5_048R_S2_R_Female_week5_S61_L001","Plate5_1050R_S2_L_Male_week5_S68_L001","Plate5_1050R_S2_RR_Male_week5_S70_L001","Plate5_1050R_S2_R_Male_week5_S69_L001","Plate5_1127R_S2_0_Female_week5_S62_L001","Plate5_1127R_S2_R_Female_week5_S63_L001","Plate5_2514R_S2_L_Male_week5_S71_L001","Plate5_2514R_S2_R_Male_week5_S72_L001","Plate5_3995R_S2_0_Female_week5_S64_L001","Plate5_3995R_S2_L_Female_week5_S65_L001","Plate5_3995R_S2_RR_Female_week5_S67_L001","Plate5_3995R_S2_R_Female_week5_S66_L001","Plate5_3997R_S2_L_Male_week5_S73_L001","Plate5_3997R_S2_R_Male_week5_S74_L001","Plate2_073R_0_M_S2_week6_S53_L001","Plate2_1067R_R_M_S2_week6_S57_L001","Plate2_2404R_R_F_S2_week6_S36_L001","Plate2_2446R_L_F_S2_week6_S40_L001","Plate2_3795R_0_F_S2_week6_S44_L001","Plate2_3909R_0_M_S2_week6_S62_L001","Plate2_3918R_R_M_S2_week6_S66_L001","Plate2_3969R_0_F_S2_week6_S48_L001","Plate2_073R_0_M_S2_week7_S54_L001","Plate2_1067R_R_M_S2_week7_S58_L001","Plate2_2404R_R_F_S2_week7_S37_L001","Plate2_2446R_L_F_S2_week7_S41_L001","Plate2_3795R_0_F_S2_week7_S45_L001","Plate2_3909R_0_M_S2_week7_S63_L001","Plate2_3918R_R_M_S2_week7_S67_L001","Plate2_3969R_0_F_S2_week7_S49_L001","Plate1_1174R_0_M_S2_week9_S56_L001","Plate1_2446R_0_F_S2_week9_S55_L001","Plate2_073R_0_M_S2_week9_S55_L001","Plate2_1067R_R_M_S2_week9_S59_L001","Plate2_1152R_0_M_S2_week9_S60_L001","Plate2_2404R_R_F_S2_week9_S38_L001","Plate2_2446R_L_F_S2_week9_S42_L001","Plate2_3795R_0_F_S2_week9_S46_L001","Plate2_3909R_0_M_S2_week9_S64_L001","Plate2_3918R_R_M_S2_week9_S68_L001","Plate2_3969R_0_F_S2_week9_S50_L001","Plate2_3980R_0_F_S2_week9_S51_L001","Plate3_073R_R_M_S2_Pellet_week9_S61_L001","Plate3_1067R_0_M_S2_week9_S62_L001","Plate3_1067R_L_M_S2_week9_S63_L001","Plate3_1152R_L_M_S2_week9_S64_L001","Plate3_1152R_R_M_S2_week9_S65_L001","Plate3_2404R_0_F_S2_week9_S66_L001","Plate3_2404R_L_F_S2_week9_S67_L001","Plate3_2446R_RL_F_S2_Pellet_week9_S69_L001","Plate3_2446R_R_F_S2_Pellet_week9_S68_L001","Plate3_2453R_0_F_S2_Pellet_week9_S70_L001","Plate3_2453R_L_F_S2_Pellet_week9_S71_L001","Plate3_2453R_R_F_S2_Pellet_week9_S72_L001","Plate3_3795R_L_F_S2_week9_S73_L001","Plate3_3880R_0_F_S2_week9_S74_L001","Plate3_3880R_L_F_S2_week9_S75_L001","Plate3_3880R_R_F_S2_week9_S76_L001","Plate3_3909R_L_M_S2_week9_S77_L001","Plate3_3918R_0_M_S2_week9_S78_L001","Plate3_3918R_L_M_S2_week9_S79_L001","Plate3_3918R_RL_M_S2_week9_S80_L001","Plate3_3918R_RR_M_S2_week9_S81_L001","Plate3_3969R_R_F_S2_Pellet_week9_S82_L001","Plate3_3980R_L_F_S2_Pellet_week9_S83_L001","Plate3_3980R_R_F_S2_Pellet_week9_S84_L001","Plate5_048R_S2_R_Female_week9_S75_L001","Plate5_1050R_S2_L_Male_week9_S82_L001","Plate5_1050R_S2_RR_Male_week9_S84_L001","Plate5_1050R_S2_R_Male_week9_S83_L001","Plate5_1127R_S2_0_Female_week9_S76_L001","Plate5_1127R_S2_R_Female_week9_S77_L001","Plate5_2514R_S2_L_Male_week9_S85_L001","Plate5_2514R_S2_R_Male_week9_S86_L001","Plate5_3995R_S2_0_Female_week9_S78_L001","Plate5_3995R_S2_L_Female_week9_S79_L001","Plate5_3995R_S2_RR_Female_week9_S81_L001","Plate5_3995R_S2_R_Female_week9_S80_L001","Plate5_3997R_S2_L_Male_week9_S87_L001","Plate5_3997R_S2_R_Male_week9_S88_L001","Plate1_160R_0_F_S2_week10_S49_L001","Plate1_160R_L_F_S2_week10_S50_L001","Plate1_3795R_R_F_S2_week10_S51_L001","Plate1_3896R_0_M_S2_week10_S52_L001","Plate1_3896R_L_M_S2_week10_S53_L001","Plate1_3909R_R_M_S2_week10_S54_L001"
"Enterococcus_A_avium",2044,339,232,2343,1610,1348,2159,2106,3027,1739,2114,1457,1114,1423,1481,1539,6138,2953,3635,1200,474,506,748,1231,3308,2377,2662,2333,1260,1385,1523,1410,2343,2728,1122,1681,4816,3210,2143,1529,750,2030,1208,897,494,1245,953,2652,1251,778,1508,384,439,1751,1637,835,1139,744,240,1277,1253,1791,634,1182,348,1483,2671,1469,513,839,835,1127,1171,802,596,1173,468,1219,272,1297,472,537,873,611,1976,1993,2175,401,1222,793,922,1249,421,511,949,1388,2152,1282,1071,532,6364,5770,2192,1830,5610,2461,2072,948,1138,624,1188,1052,1296,1581
"Bifidobacterium_longum",182,290,248,336,356,205,139,364,414,201,750,131,160,204,150,188,235,164,319,449,341,313,975,786,452,338,319,230,358,378,155,188,247,260,223,443,414,309,324,356,214,432,365,119,153,273,314,601,272,213,247,500,202,124,162,159,227,194,172,176,243,213,160,83,211,230,136,208,96,286,227,94,264,314,213,241,344,211,201,169,76,183,196,485,449,152,190,144,120,168,88,209,227,251,196,185,282,221,126,230,330,272,349,106,364,463,215,223,110,183,97,182,153,177
"Alitiscatomonas_sp900066535",86,134,146,436,273,135,59,173,588,47,356,72,53,177,194,151,188,192,118,234,59,168,178,240,156,114,68,156,650,118,333,94,291,98,0,0,0,0,0,0,0,0,60,162,83,100,91,185,128,60,127,759,61,153,89,129,69,497,114,171,191,677,109,36,135,46,676,112,304,152,219,367,628,139,116,163,127,96,130,136,128,80,73,135,690,445,674,54,125,85,98,419,126,146,312,313,208,125,1368,2119,0,0,0,0,0,0,0,0,221,122,0,729,621,717
"Holdemania_filiformis",53,146,131,185,135,95,62,114,152,40,157,99,59,88,85,104,89,81,74,66,49,98,89,145,102,117,68,97,136,138,134,67,110,79,98,172,190,101,112,125,83,197,114,93,76,119,67,103,78,92,111,170,65,68,63,105,70,86,74,94,74,89,99,43,96,73,84,64,49,123,106,80,94,104,70,101,126,106,91,92,122,94,89,99,150,95,88,32,67,74,67,77,64,128,64,83,67,58,116,60,213,184,110,70,137,217,85,79,78,160,57,102,80,106
"Faecalibacterium_longum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otoolea_symbiosa",340,610,344,607,801,561,488,473,920,297,413,197,253,301,207,366,453,386,409,345,294,515,494,570,717,613,702,465,284,1100,623,541,787,718,540,932,929,675,458,422,296,770,632,476,311,381,276,752,543,598,546,485,283,587,297,374,534,574,368,413,786,474,406,314,399,524,508,565,367,400,390,513,430,343,289,451,351,621,293,432,705,348,339,229,431,299,445,311,667,411,464,701,277,454,550,741,747,643,541,583,1000,1508,744,631,1299,1240,871,593,280,314,374,218,251,335
"Eggerthella_lenta",139,190,93,126,155,155,125,200,181,176,211,165,138,154,108,150,263,183,219,208,121,159,128,179,219,244,157,140,114,234,169,145,169,121,92,161,228,221,107,117,87,213,144,154,99,114,105,221,138,97,208,188,70,116,71,83,172,88,71,85,140,126,103,83,76,83,161,134,63,92,112,127,93,79,73,105,194,179,93,89,135,89,112,226,202,122,128,90,159,126,107,93,114,79,98,127,151,60,96,128,204,229,85,74,212,167,176,58,65,115,60,79,102,80
"Ruminococcus_B_gnavus",203,423,726,405,320,388,225,269,937,326,591,221,179,239,208,250,308,218,206,319,221,370,459,458,381,575,444,316,400,377,278,238,277,408,459,674,643,448,422,439,217,699,381,182,202,223,229,507,369,323,259,274,146,112,172,238,200,166,129,203,207,183,190,117,270,256,273,297,108,190,124,86,237,166,158,289,93,149,149,156,70,145,214,148,375,157,273,221,205,169,186,171,185,223,173,365,574,285,191,605,651,738,585,595,502,790,313,353,102,116,79,105,116,190
"Collinsella_sp902362275/sp902472315",25,0,0,0,0,12,17,11,49,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,76,57,44,0,22,18,47,0,0,0,0,33,25,29,13,0,0,60,33,0,0,31,97,37,0,65,55,0,0,23,46,44,0,29,0,0,0,27,0,33,38,50,27,0,64,0,0,43,37,0,44,90,27,0,46,42,59,51,95,91,0,72,0,0,0,0,64,73,59,25,28,28,70,29,0,50,78,70,36,82,117,46,36,0,39,42,0,31,53
"Alistipes_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sutterella_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_NA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Akkermansia_NA",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_B_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungatella_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"NA_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_A_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA_NA.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eisenbergiella_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_capitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
