,ID,Sex,Community,Subcommunity,Timepoint,Merged_weeks,Week_and_consortia,Sex_and_consortia,Sex_and_timepoint
Plate4_036R_0_M_NS1_week5_S41_L001,Plate4_036R_0_M_NS1_week5_S41_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_036R_L_M_NS1_week5_S42_L001,Plate4_036R_L_M_NS1_week5_S42_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_036R_RL_M_NS1_week5_S43_L001,Plate4_036R_RL_M_NS1_week5_S43_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_036R_RR_M_NS1_week5_S44_L001,Plate4_036R_RR_M_NS1_week5_S44_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_1030R_RR_M_NS1_week5_S45_L001,Plate4_1030R_RR_M_NS1_week5_S45_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_1121R_L_M_NS1_week5_S46_L001,Plate4_1121R_L_M_NS1_week5_S46_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_1121R_RL_M_NS1_week5_S48_L001,Plate4_1121R_RL_M_NS1_week5_S48_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_1121R_RR_M_NS1_week5_S49_L001,Plate4_1121R_RR_M_NS1_week5_S49_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_1121R_R_M_NS1_week5_S47_L001,Plate4_1121R_R_M_NS1_week5_S47_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_1151R_0_M_NS1_week5_S50_L001,Plate4_1151R_0_M_NS1_week5_S50_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_1193R_0_F_NS1_week5_S51_L001,Plate4_1193R_0_F_NS1_week5_S51_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate4_1193R_L_F_NS1_week5_S52_L001,Plate4_1193R_L_F_NS1_week5_S52_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate4_2529R_0_F_NS1_week5_S53_L001,Plate4_2529R_0_F_NS1_week5_S53_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate4_2529R_L_F_NS1_week5_S54_L001,Plate4_2529R_L_F_NS1_week5_S54_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate4_2529R_RL_F_NS1_week5_S55_L001,Plate4_2529R_RL_F_NS1_week5_S55_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate4_3861R_0_M_NS1_week5_S56_L001,Plate4_3861R_0_M_NS1_week5_S56_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_3861R_L_M_NS1_week5_S57_L001,Plate4_3861R_L_M_NS1_week5_S57_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_3861R_R_M_NS1_week5_S58_L001,Plate4_3861R_R_M_NS1_week5_S58_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate4_3971R_0_F_NS1_week5_S59_L001,Plate4_3971R_0_F_NS1_week5_S59_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate4_3975R_0_F_NS1_week5_S60_L001,Plate4_3975R_0_F_NS1_week5_S60_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate4_3975R_L_F_NS1_week5_S61_L001,Plate4_3975R_L_F_NS1_week5_S61_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate5_2808_NS1_0_Female_week5_S37_L001,Plate5_2808_NS1_0_Female_week5_S37_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate5_2808_NS1_L_Female_week5_S38_L001,Plate5_2808_NS1_L_Female_week5_S38_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate5_2808_NS1_RR_Female_week5_S40_L001,Plate5_2808_NS1_RR_Female_week5_S40_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate5_2808_NS1_R_Female_week5_S39_L001,Plate5_2808_NS1_R_Female_week5_S39_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate5_2824_NS1_0_Male_week5_S43_L001,Plate5_2824_NS1_0_Male_week5_S43_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate5_2824_NS1_L_Male_week5_S44_L001,Plate5_2824_NS1_L_Male_week5_S44_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate5_2824_NS1_R_Male_week5_S45_L001,Plate5_2824_NS1_R_Male_week5_S45_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate5_2864_NS1_R_Male_week5_S46_L001,Plate5_2864_NS1_R_Male_week5_S46_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate5_2893_NS1_0_Male_week5_S47_L001,Plate5_2893_NS1_0_Male_week5_S47_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate5_2893_NS1_R_Male_week5_S48_L001,Plate5_2893_NS1_R_Male_week5_S48_L001,Male,IAB-,NS1,week_5,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate5_2999_NS1_0_Female_week5_S41_L001,Plate5_2999_NS1_0_Female_week5_S41_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate5_2999_NS1_R_Female_week5_S42_L001,Plate5_2999_NS1_R_Female_week5_S42_L001,Female,IAB-,NS1,week_5,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate2_036R_R_M_NS1_week6_S19_L001,Plate2_036R_R_M_NS1_week6_S19_L001,Male,IAB-,NS1,week_6,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate2_1030R_L_M_NS1_week6_S23_L001,Plate2_1030R_L_M_NS1_week6_S23_L001,Male,IAB-,NS1,week_6,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate2_1121R_0_M_NS1_week6_S27_L001,Plate2_1121R_0_M_NS1_week6_S27_L001,Male,IAB-,NS1,week_6,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate2_1151R_R_M_NS1_week6_S31_L001,Plate2_1151R_R_M_NS1_week6_S31_L001,Male,IAB-,NS1,week_6,w5w6,NS1_w5w6,Male_NS1,Male_w5w6
Plate2_1193R_R_F_NS1_week6_S2_L001,Plate2_1193R_R_F_NS1_week6_S2_L001,Female,IAB-,NS1,week_6,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate2_2529R_R_F_NS1_week6_S6_L001,Plate2_2529R_R_F_NS1_week6_S6_L001,Female,IAB-,NS1,week_6,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate2_3971R_L_F_NS1_week6_S10_L001,Plate2_3971R_L_F_NS1_week6_S10_L001,Female,IAB-,NS1,week_6,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate2_3975R_R_F_NS1_week6_S15_L001,Plate2_3975R_R_F_NS1_week6_S15_L001,Female,IAB-,NS1,week_6,w5w6,NS1_w5w6,Female_NS1,Female_w5w6
Plate2_036R_R_M_NS1_week9_S21_L001,Plate2_036R_R_M_NS1_week9_S21_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate2_1030R_L_M_NS1_week9_S25_L001,Plate2_1030R_L_M_NS1_week9_S25_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate2_1121R_0_M_NS1_week9_S29_L001,Plate2_1121R_0_M_NS1_week9_S29_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate2_1151R_R_M_NS1_week9_S33_L001,Plate2_1151R_R_M_NS1_week9_S33_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate2_1193R_R_F_NS1_week9_S4_L001,Plate2_1193R_R_F_NS1_week9_S4_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate2_2529R_R_F_NS1_week9_S8_L001,Plate2_2529R_R_F_NS1_week9_S8_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate2_3861R_R_M_NS1_week9_S34_L001,Plate2_3861R_R_M_NS1_week9_S34_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate2_3971R_L_F_NS1_week9_S12_L001,Plate2_3971R_L_F_NS1_week9_S12_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate2_3975R_0_F_NS1_week9_S13_L001,Plate2_3975R_0_F_NS1_week9_S13_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate2_3975R_R_F_NS1_week9_S17_L001,Plate2_3975R_R_F_NS1_week9_S17_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_036R_0_M_NS1_S62_L001,Plate4_036R_0_M_NS1_S62_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_036R_L_M_NS1_S63_L001,Plate4_036R_L_M_NS1_S63_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_036R_RL_M_NS1_S64_L001,Plate4_036R_RL_M_NS1_S64_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_036R_RR_M_NS1_S65_L001,Plate4_036R_RR_M_NS1_S65_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_1030R_RR_M_NS1_week9_S66_L001,Plate4_1030R_RR_M_NS1_week9_S66_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_1121R_L_M_NS1_week9_S67_L001,Plate4_1121R_L_M_NS1_week9_S67_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_1121R_RL_M_NS1_week9_S69_L001,Plate4_1121R_RL_M_NS1_week9_S69_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_1121R_RR_M_NS1_week9_S70_L001,Plate4_1121R_RR_M_NS1_week9_S70_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_1121R_R_M_NS1_week9_S68_L001,Plate4_1121R_R_M_NS1_week9_S68_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_1151R_0_M_NS1_week9_S71_L001,Plate4_1151R_0_M_NS1_week9_S71_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_1193R_0_F_NS1_week9_S72_L001,Plate4_1193R_0_F_NS1_week9_S72_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_1193R_L_F_NS1_week9_S73_L001,Plate4_1193R_L_F_NS1_week9_S73_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_2529R_0_F_NS1_week9_S74_L001,Plate4_2529R_0_F_NS1_week9_S74_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_2529R_L_F_NS1_week9_S75_L001,Plate4_2529R_L_F_NS1_week9_S75_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_2529R_RL_F_NS1_week9_S76_L001,Plate4_2529R_RL_F_NS1_week9_S76_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_3861R_0_M_NS1_week9_S77_L001,Plate4_3861R_0_M_NS1_week9_S77_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_3861R_L_M_NS1_week9_S78_L001,Plate4_3861R_L_M_NS1_week9_S78_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate4_3971R_0_F_NS1_week9_S79_L001,Plate4_3971R_0_F_NS1_week9_S79_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_3971R_RL_F_NS1_week9_S81_L001,Plate4_3971R_RL_F_NS1_week9_S81_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_3971R_R_F_NS1_week9_S80_L001,Plate4_3971R_R_F_NS1_week9_S80_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_3975R_L_F_NS1_week9_S82_L001,Plate4_3975R_L_F_NS1_week9_S82_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate4_3975R_RL_F_NS1_week9_S83_L001,Plate4_3975R_RL_F_NS1_week9_S83_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate5_2808_NS1_0_Female_week9_S49_L001,Plate5_2808_NS1_0_Female_week9_S49_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate5_2808_NS1_L_Female_week9_S50_L001,Plate5_2808_NS1_L_Female_week9_S50_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate5_2808_NS1_RR_Female_week9_S52_L001,Plate5_2808_NS1_RR_Female_week9_S52_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate5_2808_NS1_R_Female_week9_S51_L001,Plate5_2808_NS1_R_Female_week9_S51_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate5_2824_NS1_0_Male_week9_S55_L001,Plate5_2824_NS1_0_Male_week9_S55_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate5_2824_NS1_L_Male_week9_S56_L001,Plate5_2824_NS1_L_Male_week9_S56_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate5_2824_NS1_R_Male_week9_S57_L001,Plate5_2824_NS1_R_Male_week9_S57_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate5_2864_NS1_R_Male_week9_S58_L001,Plate5_2864_NS1_R_Male_week9_S58_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate5_2893_NS1_0_Male_week9_S59_L001,Plate5_2893_NS1_0_Male_week9_S59_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate5_2893_NS1_R_Male_week9_S60_L001,Plate5_2893_NS1_R_Male_week9_S60_L001,Male,IAB-,NS1,week_9,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate5_2999_NS1_0_Female_week9_S53_L001,Plate5_2999_NS1_0_Female_week9_S53_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate5_2999_NS1_R_Female_week9_S54_L001,Plate5_2999_NS1_R_Female_week9_S54_L001,Female,IAB-,NS1,week_9,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate1_1030R_0_M_NS1_week10_S77_L001,Plate1_1030R_0_M_NS1_week10_S77_L001,Male,IAB-,NS1,week_10,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate1_1030R_R_M_NS1_week10_S78_L001,Plate1_1030R_R_M_NS1_week10_S78_L001,Male,IAB-,NS1,week_10,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate1_2472R_0_F_NS1_week10_S73_L001,Plate1_2472R_0_F_NS1_week10_S73_L001,Female,IAB-,NS1,week_10,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate1_2472R_R_F_NS1_week10_S74_L001,Plate1_2472R_R_F_NS1_week10_S74_L001,Female,IAB-,NS1,week_10,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate1_3874R_0_F_NS1_week10_S75_L001,Plate1_3874R_0_F_NS1_week10_S75_L001,Female,IAB-,NS1,week_10,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate1_3874R_L_F_NS1_week10_S76_L001,Plate1_3874R_L_F_NS1_week10_S76_L001,Female,IAB-,NS1,week_10,w9w10,NS1_w9w10,Female_NS1,Female_w9w10
Plate1_3974R_0_M_NS1_week10_S79_L001,Plate1_3974R_0_M_NS1_week10_S79_L001,Male,IAB-,NS1,week_10,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate1_3974R_L_M_NS1_week10_S80_L001,Plate1_3974R_L_M_NS1_week10_S80_L001,Male,IAB-,NS1,week_10,w9w10,NS1_w9w10,Male_NS1,Male_w9w10
Plate3_016R_0_F_NS6_week5_S1_L001,Plate3_016R_0_F_NS6_week5_S1_L001,Female,IAB-,NS6,week_5,w5w6,NS6_w5w6,Female_NS6,Female_w5w6
Plate4_016R_R_F_NS6_week5_S1_L001,Plate4_016R_R_F_NS6_week5_S1_L001,Female,IAB-,NS6,week_5,w5w6,NS6_w5w6,Female_NS6,Female_w5w6
Plate4_1075R_0_M_NS6_week5_S2_L001,Plate4_1075R_0_M_NS6_week5_S2_L001,Male,IAB-,NS6,week_5,w5w6,NS6_w5w6,Male_NS6,Male_w5w6
Plate4_1075R_RL_M_NS6_week5_S3_L001,Plate4_1075R_RL_M_NS6_week5_S3_L001,Male,IAB-,NS6,week_5,w5w6,NS6_w5w6,Male_NS6,Male_w5w6
Plate4_1184R_0_M_NS6_week5_S4_L001,Plate4_1184R_0_M_NS6_week5_S4_L001,Male,IAB-,NS6,week_5,w5w6,NS6_w5w6,Male_NS6,Male_w5w6
Plate4_1186R_0_M_NS6_week5_S5_L001,Plate4_1186R_0_M_NS6_week5_S5_L001,Male,IAB-,NS6,week_5,w5w6,NS6_w5w6,Male_NS6,Male_w5w6
Plate4_1186R_RR_M_NS6_week5_S6_L001,Plate4_1186R_RR_M_NS6_week5_S6_L001,Male,IAB-,NS6,week_5,w5w6,NS6_w5w6,Male_NS6,Male_w5w6
Plate4_184R_0_M_NS6_week5_S7_L001,Plate4_184R_0_M_NS6_week5_S7_L001,Male,IAB-,NS6,week_5,w5w6,NS6_w5w6,Male_NS6,Male_w5w6
Plate4_2403R_0_F_NS6_week5_S8_L001,Plate4_2403R_0_F_NS6_week5_S8_L001,Female,IAB-,NS6,week_5,w5w6,NS6_w5w6,Female_NS6,Female_w5w6
Plate4_2476R_R_F_NS6_week5_S9_L001,Plate4_2476R_R_F_NS6_week5_S9_L001,Female,IAB-,NS6,week_5,w5w6,NS6_w5w6,Female_NS6,Female_w5w6
Plate4_2562R_0_F_NS6_week5_S10_L001,Plate4_2562R_0_F_NS6_week5_S10_L001,Female,IAB-,NS6,week_5,w5w6,NS6_w5w6,Female_NS6,Female_w5w6
Plate4_2562R_RL_F_NS6_week5_S11_L001,Plate4_2562R_RL_F_NS6_week5_S11_L001,Female,IAB-,NS6,week_5,w5w6,NS6_w5w6,Female_NS6,Female_w5w6
Plate1_1075R_0_M_NS6_week9_S72_L001,Plate1_1075R_0_M_NS6_week9_S72_L001,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate2_016R_0_F_NS6_week9_S79_L001,Plate2_016R_0_F_NS6_week9_S79_L001,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate2_1075R_L_M_NS6_week9_S84_L001,Plate2_1075R_L_M_NS6_week9_S84_L001,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate2_1184R_0_M_NS6_week9_S85_L001,Plate2_1184R_0_M_NS6_week9_S85_L001,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate2_1186R_0_M_NS6_week9_S86_L001,Plate2_1186R_0_M_NS6_week9_S86_L001,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate2_1186R_RR_M_NS6_week9_S87_L001,Plate2_1186R_RR_M_NS6_week9_S87_L001,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate2_184R_0_M_NS6_week9_S88_L001,Plate2_184R_0_M_NS6_week9_S88_L001,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate2_2403R_0_F_NS6_week9_S80_L001,Plate2_2403R_0_F_NS6_week9_S80_L001,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate2_2476R_R_F_NS6_week9_S81_L001,Plate2_2476R_R_F_NS6_week9_S81_L001,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate2_2562R_0_F_NS6_week9_S82_L001,Plate2_2562R_0_F_NS6_week9_S82_L001,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate2_2562R_RL_F_NS6_week9_S83_L001,Plate2_2562R_RL_F_NS6_week9_S83_L001,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate3_016R_R_F_NS6_Pellet_week9_S2_L001,Plate3_016R_R_F_NS6_Pellet_week9_S2_L001,Female,IAB-,NS6,week_9,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001,Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001,Male,IAB-,NS6,week_9,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate1_1002R_0_M_NS6_week10_S69_L001,Plate1_1002R_0_M_NS6_week10_S69_L001,Male,IAB-,NS6,week_10,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate1_1002R_L_M_NS6_week10_S70_L001,Plate1_1002R_L_M_NS6_week10_S70_L001,Male,IAB-,NS6,week_10,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate1_184R_0_F_NS6_week10_S65_L001,Plate1_184R_0_F_NS6_week10_S65_L001,Female,IAB-,NS6,week_10,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate1_184R_L_F_NS6_week10_S66_L001,Plate1_184R_L_F_NS6_week10_S66_L001,Female,IAB-,NS6,week_10,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate1_2403R_L_F_NS6_week10_S67_L001,Plate1_2403R_L_F_NS6_week10_S67_L001,Female,IAB-,NS6,week_10,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate1_2506R_0_F_NS6_week10_S68_L001,Plate1_2506R_0_F_NS6_week10_S68_L001,Female,IAB-,NS6,week_10,w9w10,NS6_w9w10,Female_NS6,Female_w9w10
Plate1_3894R_0_M_NS6_week10_S71_L001,Plate1_3894R_0_M_NS6_week10_S71_L001,Male,IAB-,NS6,week_10,w9w10,NS6_w9w10,Male_NS6,Male_w9w10
Plate3_073R_R_M_S2_week5_S33_L001,Plate3_073R_R_M_S2_week5_S33_L001,Male,IAB+,S2,week_5,w5w6,S2_w5w6,Male_S2,Male_w5w6
Plate3_1067R_0_M_S2_week5_S34_L001,Plate3_1067R_0_M_S2_week5_S34_L001,Male,IAB+,S2,week_5,w5w6,S2_w5w6,Male_S2,Male_w5w6
Plate3_1067R_L_M_S2_week5_S35_L001,Plate3_1067R_L_M_S2_week5_S35_L001,Male,IAB+,S2,week_5,w5w6,S2_w5w6,Male_S2,Male_w5w6
Plate3_1152R_0_M_S2_week5_S36_L001,Plate3_1152R_0_M_S2_week5_S36_L001,Male,IAB+,S2,week_5,w5w6,S2_w5w6,Male_S2,Male_w5w6
Plate3_1152R_L_M_S2_week5_S37_L001,Plate3_1152R_L_M_S2_week5_S37_L001,Male,IAB+,S2,week_5,w5w6,S2_w5w6,Male_S2,Male_w5w6
Plate3_1152R_R_M_S2_week5_S38_L001,Plate3_1152R_R_M_S2_week5_S38_L001,Male,IAB+,S2,week_5,w5w6,S2_w5w6,Male_S2,Male_w5w6
Plate3_1174R_0_M_S2_week5_S39_L001,Plate3_1174R_0_M_S2_week5_S39_L001,Male,IAB+,S2,week_5,w5w6,S2_w5w6,Male_S2,Male_w5w6
Plate3_2404R_0_F_S2_week5_S40_L001,Plate3_2404R_0_F_S2_week5_S40_L001,Female,IAB+,S2,week_5,w5w6,S2_w5w6,Female_S2,Female_w5w6
Plate3_2404R_L_F_S2_week5_S41_L001,Plate3_2404R_L_F_S2_week5_S41_L001,Female,IAB+,S2,week_5,w5w6,S2_w5w6,Female_S2,Female_w5w6
Plate3_2446R_0_F_S2_week5_S42_L001,Plate3_2446R_0_F_S2_week5_S42_L001,Female,IAB+,S2,week_5,w5w6,S2_w5w6,Female_S2,Female_w5w6
