S_S5_Ea_103	S_S5_Hf_107	S_NS1_Ba_008	S_S2_Sc_086	S_S2_Cc_070	S_S2_Cc_069	S_NS6_Ss_059	S_NS1_Bs_004	S_NS6_Bu_117	S_S5_Am_089	S_NS1_Bp_010	S_S5_He_108	S_NS1_Cb_011	S_NS1_He_021	S_NS6_Pd_055	S_S2_Ea_077	S_NS6_Bu_036	S_S2_Ea_076	S_S2_Hf_081	S_NS6_Cb_041	S_S5_Rg_113	S_NS6_Bu_034	S_S5_Et_102	S_NS6_Cb_042	S_S2_Am_061	S_S5_Af_091	S_NS1_Bt_005	S_NS1_Ao_003	S_S2_Bd_064	S_S5_Cc_097	S_S2_Bd_066	S_NS6_Am_029	S_S2_Rg_085	S_NS6_Cp_043	S_NS6_Bv_037	S_NS1_El_014	S_NS1_Eh_016	S_NS1_Bl_116	S_S5_Em_101	S_NS6_El_044	S_NS1_Cp_013	S_S5_Ef_104	S_NS6_Blss_040	S_NS6_Af_030	S_S2_Af_119	S_S2_Bs_063	S_NS6_Ef_051	S_NS6_Ef_050	S_NS1_Pd_022	S_NS6_Ef_049	S_S5_Sc_120	S_NS6_Ao_031	S_NS6_Sh_058	S_NS6_Sw_060	S_NS6_He_053	S_S5_Pd_111	S_NS1_Em_018	S_NS1_Shsn_025	S_S5_Rf_112	S_NS1_Bv_007	S_S5_Pd_110	S_NS1_Af_002	S_NS1_Et_015	S_S2_Fp_080	S_S2_Cs_071	S_S2_Cb_068	S_S2_Shsn_087	S_S5_Dg_099	S_NS1_Cc_012	S_NS6_Em_046	S_NS1_Sw_027	S_S2_Pd_083	S_S2_El_072	S_NS6_Em_047	S_NS6_Pm_056	S_S2_Fp_079	S_NS1_Ss_026	S_NS1_Bu_006	S_S2_Rf_084	S_NS1_Blss_009	S_NS6_Bs_033	S_S5_Bp_095	S_S2_Rf_118	S_NS6_Bs_032	S_S5_Cb_096	S_NS1_Em_017	S_NS1_Ig_115	S_S2_Et_074	S_S2_Et_075	S_S2_Ef_078	S_S5_Lp_109	S_S5_Bg_092	S_S2_He_082	S_S2_Blss_067	S_S2_Ca_088	S_NS6_Bx_038	S_NS6_Pp_057	S_S2_El_073	S_NS1_Fp_020	S_S5_Cc_098	S_S2_Bv_065	S_S5_Af_090	S_S5_Bv_093	S_NS1_Fp_019	S_NS6_Hh_054	S_NS6_El_045	S_NS6_Fp_052	S_NS1_Pm_023	S_S5_Fp_106	S_NS1_Am_001	S_S5_Fp_105	S_NS1_Ca_028	S_NS6_Ba_039	S_S5_El_100	S_S5_Blss_094	S_NS6_Et_048
2313	865	1311	3128	2544	1651	1452	1495	1704	1219	1260	3382	2760	3151	1825	2258	1708	2364	845	2884	1796	1707	2842	2859	1188	1362	2013	1288	1866	2829	1409	1275	1841	1736	1820	1547	1759	1312	2732	1537	1751	4133	1290	1346	1381	2903	4016	1872	1827	1875	1670	1340	1584	1352	3040	1828	4090	1549	1716	1812	1829	1340	2844	1917	2156	2796	1585	1856	2856	2594	1393	1830	1547	2597	1649	1598	1492	1813	3194	1312	1515	1312	1577	1516	2811	4074	1539	2945	2944	4177	2592	2374	3200	1278	1070	2027	1605	1570	2120	2553	1821	1362	1819	2082	2953	1535	2204	1631	2155	1223	1605	1080	1201	1511	1289	2829
1205	404	695	1417	1305	832	721	911	1030	746	678	1479	1438	1413	1067	1176	1033	1234	386	1469	895	1033	1276	1486	725	786	1153	752	1077	1404	743	773	908	909	1067	762	875	696	1261	757	919	1700	689	773	790	1346	1653	924	1068	927	889	780	843	663	1390	1071	1671	827	853	1047	1071	769	1295	955	1112	1410	838	907	1425	1204	684	1071	750	1204	981	791	720	1081	1431	690	932	694	794	933	1388	1669	813	1317	1317	1709	1268	1147	1435	692	581	1183	826	764	992	1293	1053	787	1061	977	1340	741	1019	967	1008	738	793	589	647	722	687	1306
